id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genre_names,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
139707,en,The Opera Ghost: A Phantom Unmasked,A documentary from Universal about their Phantom of the Opera movies.,13.01,2000-01-01,The Opera Ghost: A Phantom Unmasked,8.0,3,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
254506,en,I Was Possessed by God,"On Valentine's Day, 1993, Caveh Zahedi decided to ingest 5 grams (a very large dose) of hallucinogenic mushrooms. For the first time in his mushroom-taking history, he had an experience of ""divine possession,"" in which he felt that a divine being took possession of his body and spoke through him, in a voice that was not his, and with knowledge that he himself did not possess. He later tried several times to repeat the experience. I WAS POSSESSED BY GOD is the documentary record of one such attempt.",4.571,2000-01-01,I Was Possessed by God,0.5,1,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44387,en,That Moment: Magnolia Diary,"A very in-depth documentary that follows the very over-worked director Paul Thomas Anderson through a gruelling 80+ days of shooting for the film Magnolia (1999), containing behind-the-scenes footage and interviews.",6.903,2000-01-01,That Moment: Magnolia Diary,7.4,13,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71618,en,After Sex,"A group of attractive women get together for a weekend of bonding, hoping to relax and getaway from the anxiety of their boyfriends. The women travel out of town which leads them to picking up men of questionable integrity. The next problem is what will they tell their boyfriends when they get back home.",9.005,2000-01-01,After Sex,5.3,24,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
338756,en,Inside 'The Spy Who Loved Me',"A behind the scenes look at the James Bond film ""The Spy Who Loved Me""",5.985,2000-01-01,Inside 'The Spy Who Loved Me',6.8,4,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12490,en,Ordinary Decent Criminal,"Michael Lynch is a notorious criminal with two wives and a flair for showmanship. He's also a huge embarrassment to the local police, who are determined to bring him down once and for all.",10.961,2000-07-01,Ordinary Decent Criminal,6.1,207,"['Comedy', 'Thriller']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59709,en,Britannic,"It was the sister ship of the infamous Titanic... and its final destiny was the same. Experience the true untold story of Britannic, a tumultuous, epic voyage of human passion, courage and betrayal aboard an ill-fated ocean liner bound for a shattering demise. With the world at war, an undercover British agent (Amanda Ryan), embarks the Britannic in search of a German spy believed to be on board to sabotage the ship. Posing as a governess, the undercover agent finds herself falling in love with the ship's chaplain (Edward Atterton). In a stunning discovery, the lovers suddenly find themselves enemies of war. And when a massive explosion deals a deathblow to the ship, their battle becomes one for their own survival. With a dynamic, international cast and a story line that hosts a chilling tale of espionage, politics and romance, Britannic brings one of history's most devastating events to riveting, new life.",5.536,2000-10-01,Britannic,6.8,62,"['Action', 'Drama', 'History', 'TV Movie', 'War']",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
10471,en,Next Friday,"A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison.",18.055,2000-12-01,Next Friday,6.4,512,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17908,en,My Dog Skip,"A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris.",15.479,2000-12-01,My Dog Skip,6.8,257,"['Comedy', 'Drama', 'Family']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
206053,en,A Father's Choice,The fast-paced city life of two sisters is turned upside down when they are sent to live in the country with their father after their mother is killed.,5.811,2000-12-01,A Father's Choice,5.4,26,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10384,en,Supernova,"Set in the 22nd century, when a battered salvage ship sends out a distress signal, the seasoned crew of the rescue hospital ship Nova-17 responds. What they find is a black hole--that threatens to destroy both ships--and a mysterious survivor whose body quickly mutates into a monstrous and deadly form.",15.842,2000-01-14,Supernova,4.9,336,"['Science Fiction', 'Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
12724,en,The Convent,A group of college students break into an abandoned convent and become possessed by demonic spirits.,11.323,2000-01-21,The Convent,5.4,52,"['Horror', 'Action', 'Comedy']",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10472,en,Down to You,"College coeds in New York City, Al, the son of a celebrity chef, and Imogen, a talented artist, become smitten the second they lay eyes on one another at a bar. However, the road to happiness is not a smooth one. Outside forces, including a predatory porn star who wants to lure Al into her bed, threaten to pull apart the young lovers before their romance has a chance to really flourish.",9.138,2000-01-21,Down to You,5.2,220,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20067,en,Things You Can Tell Just by Looking at Her,"In California, a group of women struggle with personal problems as their paths intertwine in unexpected ways. Dr. Elaine Keener, the sole caretaker for her aging mother, turns to tarot card reader Christine for spiritual aid. Christine grapples with her own angst due to her lover's debilitating illness. Meanwhile, a bank manager deals with an unwanted pregnancy, two sisters pursue romantic interests and a housewife gets back into the dating game.",10.551,2000-01-22,Things You Can Tell Just by Looking at Her,5.8,84,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
124134,en,"Up, Up, and Away",A boy is the only family member without superpowers in this Disney Film. The world depends on him saving his family from computerized brainwashers. Will he realize that it doesn't take superpowers to be a hero in time to help them defeat the villains?,6.869,2000-01-22,"Up, Up, and Away",5.5,40,"['Action', 'Family', 'TV Movie']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9456,en,The Crow: Salvation,"Alex Corvis returns to the world of the living to avenge the murder of his girlfriend, who he was wrongly accused of killing. But first he must uncover the truth about who really killed her.",15.242,2000-01-23,The Crow: Salvation,5.4,296,"['Action', 'Thriller', 'Crime', 'Fantasy', 'Mystery', 'Horror']",1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
10898,en,The Little Mermaid II: Return to the Sea,"Set several years after the first film, Ariel and Prince Eric are happily married with a daughter, Melody. In order to protect Melody from the Sea Witch, Morgana, they have not told her about her mermaid heritage. Melody is curious and ventures into the sea, where she meets new friends. But will she become a pawn in Morgana's quest to take control of the ocean from King Triton?",6.315,2000-01-23,The Little Mermaid II: Return to the Sea,6.4,1610,"['Animation', 'Adventure', 'Family', 'Comedy']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
